.def keys sky_key,lake_key,ruby_key,wind_key,cloud_key,light_key,sword_key,tree_key,flower_key,magma_key,heart_key,ghost_key,trial_key,dankirk_key,basement_key,narcysus_key,truth_key

starting_character  tia,guy,selan,dekar
starting_item       arrow,bomb,hammer
hidden_item         nothing
tanbel_tower1       keys
tsword_shrine1      keys
gordovan_tower1     keys
ancient_tower1      keys
lighthouse1         keys
sacrifice_tower1    keys
karlloon_shrine1    keys
northeast_tower1    keys
divine_shrine1      keys
vengeance_shrine1   keys
truth_tower1        keys
daos_shrine         victory
